STATE,CLUSTER,HOMEOWNR,GENDER,DATASRCE,SOLIH,VETERANS,RFA_2R,RFA_2A,GEOCODE2,DOMAIN_A,DOMAIN_B
other,12,H,M,2,,Y,L,E,B,S,1
other,51,H,F,3,,N,L,E,D,R,3
TX,2,N,F,3,12,N,L,G,A,U,1
GA,48,N,F,0,,N,L,E,B,R,2
other,23,H,F,2,,N,L,D,A,C,1
IL,20,H,M,3,,N,L,F,A,S,2
other,53,U,M,2,,N,L,E,D,R,3
MI,35,H,U,3,,Y,L,F,C,T,1
other,24,H,F,3,,N,L,E,B,C,1
CA,28,H,M,3,,N,L,G,C,C,2
MI,49,U,M,2,,N,L,E,D,R,2
TX,30,H,M,3,,N,L,F,A,C,3
CA,40,H,F,3,,N,L,G,A,T,2
other,49,U,M,3,,Y,L,E,D,R,2
GA,40,N,M,3,,N,L,G,B,T,2
MI,5,H,F,2,,N,L,G,A,U,2
TX,53,H,M,2,,N,L,G,D,R,3
FL,9,H,F,2,,N,L,E,A,U,3
other,25,H,F,3,,N,L,F,B,C,2
GA,49,N,F,0,,N,L,F,D,R,2
FL,2,H,M,3,,N,L,F,A,U,1
CA,13,U,M,2,,N,L,G,A,S,1
TX,42,H,M,2,,N,L,F,B,R,1
MI,12,H,M,3,12,N,L,F,A,S,1
other,51,H,M,2,,N,L,F,C,R,3
FL,13,H,F,3,,N,L,F,B,S,1
other,36,H,M,2,,Y,L,G,D,T,2
other,35,H,M,3,,N,L,F,C,T,1
FL,46,H,F,3,,N,L,F,C,R,2
CA,27,U,F,2,,N,L,E,A,C,2
TX,24,H,M,2,,Y,L,G,A,C,1
CA,27,H,M,3,,N,L,G,A,C,2
other,30,H,F,3,,N,L,E,C,C,3
CA,40,H,M,3,,N,L,E,A,T,2
GA,44,N,F,2,,N,L,F,A,R,2
MO,30,H,F,3,,N,L,E,B,C,3
CA,11,H,F,3,,N,L,G,A,S,1
other,39,H,M,2,12,N,L,F,B,T,2
GA,13,H,M,3,,N,L,F,A,S,1
IN,43,U,M,1,,N,L,G,B,R,2
IL,16,H,F,3,,N,L,F,A,S,2
CA,8,H,M,3,12,N,L,E,A,U,3
TX,30,N,F,0,,N,L,F,C,C,3
other,36,N,M,0,,N,L,F,C,T,2
MI,45,H,F,2,,Y,L,D,D,R,2
FL,28,H,F,3,,N,L,E,B,C,2
MO,40,N,M,0,,N,L,E,A,R,2
other,18,N,F,0,,N,L,E,A,S,2
other,38,N,F,0,,N,L,F,D,T,2
TX,12,H,F,3,,N,L,G,B,S,1
CA,3,H,M,3,,N,L,F,A,U,1
other,43,H,F,3,,N,L,E,B,R,2
other,43,H,F,3,,N,L,G,D,R,2
IN,14,H,F,2,,N,L,G,B,S,1
other,35,H,M,3,,N,L,E,B,T,1
FL,34,N,F,0,,N,L,F,A,T,1
CA,12,N,F,0,,N,L,G,A,S,1
other,7,N,M,0,,N,L,E,B,U,2
IL,44,U,F,1,,N,L,E,C,R,2
other,30,H,M,1,,N,L,E,B,C,3
IL,27,H,M,3,,N,L,G,A,C,2
FL,51,H,F,2,,N,L,F,D,R,3
other,45,N,F,0,,N,L,E,D,R,2
other,41,H,M,3,,N,L,F,B,T,3
IN,16,N,M,0,12,N,L,G,A,S,2
TX,42,U,F,3,,N,L,F,D,R,1
TX,41,N,M,0,,N,L,G,A,T,3
other,40,H,M,3,12,Y,L,F,D,R,2
IL,24,U,F,3,,N,L,G,A,C,1
GA,40,N,M,0,,N,L,E,A,T,2
other,40,U,F,2,12,N,L,F,C,R,2
other,51,U,M,1,,N,L,F,B,R,3
MI,5,H,M,3,,N,L,F,A,U,2
IN,27,N,F,0,,N,L,E,D,C,2
other,47,H,M,2,,N,L,F,B,R,2
CA,20,H,F,2,,N,L,E,A,S,2
other,42,H,F,3,,N,L,F,D,R,1
other,16,H,M,1,,N,L,F,B,S,2
other,40,U,M,3,12,N,L,F,D,T,2
TX,24,H,M,2,,N,L,G,A,C,1
other,39,U,M,3,,Y,L,F,B,T,2
CA,20,N,F,0,,N,L,E,A,S,2
MI,44,H,F,3,,Y,L,E,A,R,2
other,39,H,M,2,12,N,L,G,B,T,2
other,11,N,M,0,,N,L,G,B,S,1
CA,5,N,F,0,,N,L,F,A,U,2
other,17,H,F,2,,N,L,G,A,S,2
CA,3,H,F,3,,N,L,G,A,U,1
FL,24,N,F,0,,N,L,F,C,C,1
IL,14,H,M,3,,N,L,G,A,S,1
TX,27,H,F,3,,N,L,E,A,C,2
other,45,N,F,0,,N,L,D,D,R,2
MI,16,H,F,3,,N,L,F,A,S,2
CA,3,U,F,3,,N,L,E,A,U,1
other,43,N,M,0,,N,L,E,D,R,2
MI,24,H,F,3,,N,L,F,C,C,1
MI,15,H,F,3,,N,L,E,A,S,1
TX,39,U,M,2,,N,L,E,C,T,2
other,38,U,F,3,12,N,L,E,D,T,2
MI,16,N,F,0,,N,L,F,B,S,2
CA,1,H,U,2,,N,L,F,A,U,1
other,16,H,F,3,,N,L,F,B,S,2
NC,32,H,F,3,,N,L,F,B,C,3
IN,36,U,F,2,12,N,L,E,D,T,2
MO,36,U,F,2,,N,L,F,C,T,2
other,39,N,M,0,,N,L,F,B,T,2
other,12,U,F,2,,N,L,F,A,S,1
CA,13,N,M,0,,N,L,E,A,S,1
TX,3,H,F,3,,N,L,F,B,U,1
TX,35,N,F,0,,N,L,F,B,T,1
NC,47,H,F,3,,N,L,E,C,R,2
TX,24,H,M,3,,N,L,F,A,C,1
CA,35,H,M,3,,N,L,G,A,T,1
IL,13,N,M,0,,N,L,D,A,S,1
IN,36,H,F,3,12,N,L,G,D,T,2
IL,3,U,F,3,,N,L,F,A,U,1
NC,22,N,F,0,,N,L,E,B,C,1
NC,45,U,F,2,,N,L,G,D,R,2
other,40,H,F,2,,N,L,F,C,T,2
CA,35,H,F,3,,Y,L,F,A,T,1
CA,24,H,F,2,,N,L,E,A,C,1
MI,32,N,F,0,,N,L,F,C,C,3
other,37,U,F,3,,N,L,E,D,T,2
other,24,H,U,2,,N,L,F,B,C,1
other,49,N,F,0,,N,L,G,A,R,2
MO,40,N,M,2,,N,L,F,D,R,2
WI,24,H,F,3,,N,L,F,B,C,1
NC,49,U,M,2,,N,L,D,C,R,2
CA,12,H,F,2,,N,L,G,A,S,1
other,14,N,F,0,,Y,L,F,B,S,1
other,7,N,M,0,,N,L,G,A,U,2
FL,29,H,M,3,,N,L,E,C,C,2
MI,16,H,F,3,,N,L,G,A,S,2
MO,22,H,M,3,,N,L,F,B,C,1
WI,37,N,F,0,,N,L,D,D,T,2
FL,14,H,F,2,,N,L,G,B,S,1
FL,24,H,F,2,,N,L,F,B,C,1
other,18,H,M,2,,N,L,D,A,S,2
other,38,N,F,0,,N,L,D,D,T,2
WI,16,H,F,3,,N,L,F,B,S,2
TX,40,U,M,3,,N,L,E,D,T,2
MI,43,H,F,3,,Y,L,G,D,R,2
NC,43,H,M,2,,N,L,E,C,R,2
MO,9,N,M,0,,N,L,G,A,U,3
IL,1,H,F,3,,N,L,E,A,U,1
other,31,U,M,2,,N,L,F,D,C,3
TX,18,H,F,3,,N,L,F,B,S,2
other,32,U,F,2,,N,L,G,C,C,3
other,10,H,M,2,,N,L,E,B,U,4
other,53,U,M,3,,N,L,E,D,R,3
WI,17,H,F,3,,N,L,E,B,S,2
other,22,H,M,3,,N,L,G,B,C,1
FL,12,H,M,3,,N,L,E,B,S,1
other,40,H,M,2,,Y,L,E,B,T,2
NC,38,H,M,3,,N,L,D,B,T,2
other,41,H,U,1,,N,L,F,D,T,3
CA,1,N,F,0,,N,L,E,A,U,1
other,43,H,F,2,1,N,L,E,D,R,2
other,39,U,F,2,,N,L,F,D,T,2
TX,25,U,F,3,,N,L,F,B,C,2
FL,40,U,F,2,,N,L,F,C,R,2
IN,51,N,F,0,,N,L,G,D,R,3
MO,45,H,F,2,,N,L,E,D,R,2
other,43,H,F,2,,N,L,F,C,R,2
CA,27,U,M,2,,N,L,F,B,C,2
GA,34,N,F,0,,N,L,F,D,T,1
other,36,H,F,3,,N,L,F,D,T,2
CA,8,N,F,0,,N,L,F,A,U,3
other,47,U,M,3,,N,L,E,D,R,2
other,34,U,M,3,,N,L,F,B,T,1
CA,35,H,F,3,,N,L,G,A,T,1
MI,21,H,M,3,,N,L,F,A,S,3
other,24,H,M,3,,N,L,F,C,C,1
TX,46,H,M,1,,N,L,E,A,R,2
IN,32,H,M,3,,N,L,F,A,C,3
IN,10,U,M,3,,N,L,G,B,U,4
CA,2,N,M,0,,N,L,E,A,U,1
GA,39,H,F,2,,N,L,F,A,T,2
WA,20,U,F,3,12,N,L,D,A,S,2
WI,16,H,M,3,,N,L,E,B,S,2
IL,16,H,F,1,,N,L,G,B,S,2
CA,3,H,M,3,,N,L,E,A,U,1
CA,27,H,M,3,,Y,L,F,A,C,2
GA,27,H,F,3,,N,L,F,B,C,2
other,8,H,F,3,,N,L,F,A,U,3
NC,24,N,M,0,,N,L,D,B,C,1
other,24,H,F,3,,N,L,F,B,C,1
CA,1,H,M,3,,N,L,E,A,U,1
CA,17,N,F,0,,N,L,E,A,S,2
WI,49,H,F,2,,N,L,E,C,R,2
WA,18,H,F,3,,Y,L,G,A,S,2
NC,49,U,F,2,,N,L,F,B,R,2
CA,11,H,M,3,,N,L,E,B,S,1
MO,36,U,M,2,,N,L,F,D,T,2
CA,24,H,F,3,,N,L,F,A,C,1
CA,26,N,M,0,12,N,L,F,A,C,2
other,30,H,F,2,,N,L,F,B,C,3
CA,3,U,F,2,,Y,L,E,A,U,1
NC,50,H,U,2,,N,L,F,D,R,3
FL,24,H,F,3,,Y,L,E,C,C,1
other,43,N,F,0,,N,L,G,D,R,2
WI,11,H,U,3,,N,L,F,B,S,1
other,40,U,F,3,,N,L,F,C,R,2
other,30,U,F,1,12,N,L,D,B,C,3
TX,39,H,F,3,,N,L,F,A,T,2
TX,30,N,F,0,12,N,L,F,C,C,3
MO,1,H,J,1,,N,L,E,A,U,1
other,48,U,M,2,12,N,L,E,D,R,2
FL,33,U,M,2,,N,L,G,A,C,3
other,35,H,F,3,,N,L,E,B,T,1
TX,40,U,M,3,12,N,L,G,A,T,2
other,10,N,F,0,0,N,L,G,B,U,4
MI,22,H,F,3,12,N,L,F,D,C,1
CA,19,U,M,3,,N,L,G,A,S,2
NC,49,U,F,3,12,N,L,D,D,R,2
other,15,H,F,3,,N,L,F,B,S,1
other,34,H,F,1,,N,L,G,D,T,1
CA,40,N,J,0,12,N,L,F,B,R,2
IL,13,H,F,3,,Y,L,F,A,S,1
TX,41,U,F,3,,N,L,G,D,T,3
other,21,H,F,3,,Y,L,F,B,S,3
other,49,U,F,2,,N,L,F,B,R,2
CA,20,H,F,2,,N,L,F,A,S,2
other,48,H,M,3,,N,L,F,D,R,2
CA,2,N,M,0,,N,L,F,A,U,1
other,49,N,F,0,,N,L,F,D,R,2
TX,40,H,F,2,,N,L,F,D,T,2
other,18,H,M,1,,N,L,F,B,S,2
other,2,H,M,3,,N,L,F,B,U,1
MI,49,H,F,3,,N,L,F,C,R,2
NC,36,U,M,3,,N,L,F,C,T,2
CA,2,H,M,3,12,N,L,F,A,U,1
CA,15,N,F,0,,N,L,F,A,S,1
CA,3,U,M,3,12,N,L,G,A,U,1
CA,18,H,M,3,,N,L,F,A,S,2
other,47,U,F,3,,N,L,F,C,R,2
other,36,N,F,0,,N,L,F,C,T,2
other,25,U,F,3,,N,L,F,D,C,2
GA,40,U,U,3,,N,L,F,A,R,2
IL,3,H,F,2,12,N,L,F,A,U,1
GA,51,N,F,0,,Y,L,F,D,R,3
MO,41,N,F,3,,N,L,E,D,T,3
CA,46,H,M,2,,N,L,F,D,R,2
TX,41,N,F,2,,N,L,G,D,T,3
MI,31,N,F,0,,N,L,F,D,C,3
WI,35,H,F,2,,N,L,F,B,T,1
WI,4,U,M,3,,N,L,F,B,U,2
WA,27,H,F,3,,N,L,G,B,C,2
NC,42,U,M,3,,N,L,F,D,R,1
WA,10,H,F,3,,N,L,E,A,U,4
WA,41,H,M,3,,N,L,E,C,T,3
other,45,H,M,3,,N,L,E,B,R,2
CA,11,N,F,0,,N,L,E,A,S,1
WA,42,N,F,0,,N,L,G,C,R,1
other,51,H,F,2,,N,L,F,D,R,3
other,37,U,F,1,12,N,L,D,D,T,2
IL,20,U,F,2,,N,L,F,A,S,2
IN,36,N,F,0,,N,L,E,C,T,2
IL,16,H,F,2,,N,L,F,A,S,2
WI,27,H,F,3,,N,L,E,B,C,2
FL,31,N,M,0,,N,L,G,B,C,3
MO,16,H,M,3,,N,L,F,B,S,2
TX,46,H,F,2,12,N,L,F,D,R,2
other,42,H,F,3,,N,L,F,D,R,1
TX,11,H,M,3,12,Y,L,F,B,S,1
CA,2,H,F,2,,N,L,G,A,U,1
CA,6,N,F,0,,N,L,F,A,U,2
other,2,H,F,1,,N,L,F,B,U,1
other,34,H,M,3,,N,L,D,B,T,1
GA,47,U,M,2,,N,L,F,D,R,2
other,3,N,F,0,,N,L,G,B,U,1
IN,49,U,M,2,0,N,L,F,D,R,2
other,27,H,M,2,,N,L,E,C,C,2
FL,25,H,M,3,,N,L,F,C,C,2
other,42,H,M,2,,N,L,E,D,R,1
CA,29,H,F,2,,N,L,F,A,C,2
other,46,U,F,3,,N,L,F,D,R,2
MO,51,N,M,0,,N,L,F,D,R,3
other,16,H,F,3,12,N,L,F,B,S,2
other,13,H,F,1,,N,L,F,B,S,1
other,5,H,F,3,,N,L,F,A,U,2
other,51,N,F,0,,N,L,E,D,R,3
TX,15,U,F,3,,N,L,E,A,S,1
CA,11,N,F,0,,N,L,F,A,S,1
CA,11,U,F,2,,N,L,F,A,S,1
TX,51,U,M,3,,N,L,F,B,R,3
FL,29,H,M,1,,Y,L,E,C,C,2
TX,34,H,M,3,,Y,L,G,A,T,1
other,50,H,M,2,,N,L,F,D,R,3
NC,47,H,F,2,,N,L,F,D,R,2
CA,37,H,F,3,,N,L,G,A,T,2
CA,8,H,U,3,,N,L,E,A,U,3
other,43,N,F,0,,N,L,G,D,R,2
IN,44,H,M,2,,N,L,D,A,R,2
IN,39,H,U,2,,N,L,D,A,T,2
other,39,U,F,3,,N,L,F,C,T,2
FL,29,H,M,3,,N,L,D,C,C,2
other,40,U,F,3,,N,L,F,C,R,2
other,49,H,F,3,,N,L,E,B,R,2
other,40,H,F,3,,N,L,F,B,R,2
MI,51,H,F,3,,Y,L,F,C,R,3
FL,17,U,F,2,,N,L,F,B,S,2
NC,40,H,F,3,,N,L,F,C,T,2
NC,44,H,F,3,,N,L,D,C,R,2
FL,27,H,F,3,,N,L,F,A,C,2
WA,12,U,F,1,,N,L,G,A,S,1
other,49,U,F,3,,N,L,D,D,R,2
TX,30,H,M,1,,Y,L,E,A,C,3
other,43,H,M,1,,N,L,D,D,R,2
CA,26,N,F,0,,N,L,F,A,C,2
IL,41,H,F,3,,N,L,F,D,T,3
TX,2,H,F,3,,N,L,G,A,U,1
FL,48,H,F,3,,N,L,F,C,R,2
IL,13,H,M,3,,N,L,F,A,S,1
CA,40,H,F,3,,Y,L,F,A,R,2
FL,37,U,M,3,,N,L,D,C,T,2
other,41,U,M,2,,N,L,G,C,T,3
IL,24,H,F,3,,N,L,F,C,C,1
TX,12,H,F,2,,N,L,F,B,S,1
other,51,U,M,3,,N,L,G,B,R,3
MI,17,H,M,3,,N,L,F,B,S,2
other,40,N,F,0,,N,L,E,B,T,2
MI,22,N,F,0,,N,L,F,C,C,1
CA,27,U,F,2,,N,L,F,B,C,2
FL,33,H,M,3,,N,L,E,C,C,3
IN,12,H,M,3,,N,L,F,B,S,1
IL,11,H,M,3,12,N,L,G,B,S,1
CA,18,U,F,3,,N,L,F,A,S,2
GA,41,U,M,3,,N,L,E,D,T,3
other,29,N,F,0,,N,L,G,A,C,2
WI,49,U,M,1,,N,L,D,C,R,2
other,49,U,F,1,,N,L,F,C,R,2
WA,16,H,M,3,12,N,L,E,A,S,2
MO,53,U,F,2,,N,L,E,D,R,3
CA,40,N,F,0,,N,L,E,A,T,2
CA,26,U,M,2,,N,L,G,A,C,2
CA,9,U,F,2,,N,L,F,B,U,3
FL,20,N,F,0,,N,L,G,B,S,2
CA,42,H,U,1,4,N,L,E,A,R,1
other,49,N,F,0,,N,L,F,D,R,2
TX,45,U,F,2,,N,L,D,D,R,2
other,24,H,M,2,,N,L,F,C,C,1
TX,31,U,M,2,,N,L,G,A,C,3
GA,39,H,F,2,,N,L,F,C,T,2
WA,30,N,F,0,,N,L,F,C,C,3
other,30,H,F,2,,N,L,F,C,C,3
IL,24,H,M,3,,N,L,F,A,C,1
CA,24,H,F,2,,N,L,F,A,C,1
other,14,H,M,3,,N,L,F,B,S,1
MI,32,H,F,3,,N,L,F,A,C,3
TX,44,U,M,2,,N,L,F,A,R,2
other,41,N,M,0,,N,L,E,D,T,3
NC,28,N,M,0,,N,L,D,C,C,2
CA,13,H,F,3,,N,L,G,A,S,1
other,37,N,F,0,,N,L,E,D,T,2
CA,3,H,M,3,,N,L,E,A,U,1
IN,40,H,M,3,,N,L,F,C,T,2
CA,3,N,F,0,,N,L,F,A,U,1
other,40,H,F,3,,Y,L,F,C,T,2
WA,44,H,F,3,12,N,L,D,C,R,2
CA,27,H,M,3,,N,L,E,A,C,2
MO,49,N,M,0,,N,L,F,D,R,2
other,20,H,M,3,,N,L,E,B,S,2
IL,5,H,M,3,,N,L,F,A,U,2
WI,35,H,F,3,,N,L,F,B,T,1
WA,14,H,M,3,,N,L,E,A,S,1
CA,2,H,F,3,,N,L,F,A,U,1
CA,24,H,M,3,,N,L,G,B,C,1
CA,3,N,F,0,,N,L,G,A,U,1
WA,28,H,F,3,,N,L,E,A,C,2
IL,13,H,M,2,,N,L,G,A,S,1
other,43,H,M,2,,N,L,D,D,R,2
CA,36,U,F,2,,Y,L,F,A,T,2
other,28,H,F,3,12,N,L,F,B,C,2
FL,37,H,M,3,,N,L,F,D,T,2
WA,14,U,M,1,,N,L,F,A,S,1
CA,11,H,F,2,12,N,L,F,A,S,1
other,24,U,M,2,,N,L,F,C,C,1
FL,34,N,M,0,,N,L,F,B,T,1
other,42,H,F,2,,N,L,G,D,R,1
FL,23,U,F,3,,N,L,G,B,C,1
GA,24,H,M,2,,N,L,F,B,C,1
IL,14,U,F,3,,N,L,E,A,S,1
WA,35,N,M,0,,N,L,G,C,T,1
other,40,H,M,3,12,N,L,G,A,R,2
NC,40,H,F,2,,Y,L,F,C,T,2
CA,10,H,F,1,,N,L,F,A,U,4
TX,15,H,M,3,,N,L,F,B,S,1
FL,27,H,M,3,,Y,L,E,B,C,2
other,49,U,F,2,,N,L,F,D,R,2
other,29,U,U,1,,N,L,G,A,C,2
TX,20,H,F,2,,N,L,F,A,S,2
other,17,N,F,0,,N,L,F,A,S,2
MI,39,N,M,0,,N,L,D,C,T,2
CA,13,H,F,3,,N,L,E,A,S,1
CA,3,N,F,0,,N,L,E,A,U,1
WI,49,U,F,3,,N,L,E,D,R,2
other,11,H,F,1,,N,L,E,B,S,1
WA,30,N,F,0,,N,L,E,A,C,3
WI,2,H,F,3,,N,L,G,A,U,1
other,12,U,M,3,,N,L,F,B,S,1
GA,33,U,M,3,12,N,L,G,B,C,3
MI,40,H,M,2,,N,L,F,A,T,2
MI,46,U,M,2,,N,L,F,D,R,2
other,10,H,F,2,,N,L,F,B,U,4
other,38,N,M,0,,N,L,E,C,T,2
FL,23,H,M,3,,N,L,E,A,C,1
CA,7,N,F,0,,N,L,F,A,U,2
GA,40,H,F,1,,N,L,F,A,T,2
CA,8,H,F,3,,N,L,F,A,U,3
WA,10,H,M,3,,N,L,F,A,U,4
other,36,H,F,2,,N,L,G,D,T,2
FL,40,H,F,2,12,N,L,E,B,T,2
GA,42,N,F,0,,N,L,G,D,R,1
FL,11,H,F,3,,Y,L,D,B,S,1
IN,12,N,F,0,,N,L,F,A,S,1
TX,13,N,F,0,,N,L,G,A,S,1
TX,10,H,M,3,,N,L,D,B,U,4
other,2,H,F,2,,Y,L,G,A,U,1
IN,11,N,F,0,,Y,L,G,B,S,1
TX,35,H,F,3,,N,L,G,A,T,1
other,40,N,F,0,,N,L,F,B,R,2
other,39,H,F,3,,N,L,G,C,T,2
other,40,H,F,2,,N,L,F,C,T,2
GA,43,H,F,2,,N,L,G,D,R,2
WI,43,N,M,0,,N,L,F,D,R,2
other,34,H,M,3,,N,L,G,D,T,1
MI,11,H,F,2,,N,L,F,B,S,1
TX,2,N,F,3,,N,L,F,A,U,1
other,49,H,F,3,,Y,L,F,C,R,2
other,34,H,M,2,12,Y,L,F,D,T,1
other,39,U,M,2,,N,L,F,C,T,2
other,49,U,M,1,,N,L,D,D,R,2
CA,13,H,F,1,,N,L,F,A,S,1
MI,21,H,F,2,,N,L,F,A,S,3
other,26,H,F,1,,N,L,G,B,C,2
MI,34,U,F,2,,N,L,E,C,T,1
other,35,H,M,3,,N,L,F,C,T,1
IN,17,N,F,0,,N,L,G,A,S,2
CA,2,H,M,3,,N,L,F,A,U,1
MI,17,H,F,3,,N,L,E,A,S,2
FL,37,N,M,0,,N,L,E,B,T,2
other,27,H,M,2,,N,L,F,B,C,2
FL,48,H,M,3,,N,L,E,A,R,2
other,53,N,F,0,,N,L,D,D,R,3
WI,20,U,F,3,12,N,L,F,B,S,2
IL,27,H,U,2,,Y,L,F,A,C,2
WI,51,U,M,3,,N,L,E,D,R,3
other,15,N,M,0,,N,L,F,B,S,1
FL,40,H,F,3,,N,L,F,B,T,2
other,45,U,F,1,,N,L,F,D,R,2
FL,21,N,F,0,,N,L,D,A,S,3
TX,16,H,M,2,,N,L,F,A,S,2
other,53,N,F,0,,N,L,D,D,R,3
other,45,H,U,3,12,N,L,F,C,R,2
other,11,H,M,2,,Y,L,F,B,S,1
IN,40,H,M,3,,N,L,F,B,T,2
other,20,N,F,0,,N,L,E,B,S,2
FL,27,H,F,3,,N,L,F,B,C,2
CA,18,H,F,1,,N,L,E,B,S,2
other,45,N,F,0,,N,L,F,B,R,2
other,42,H,M,3,,N,L,E,D,R,1
IN,24,H,M,3,12,N,L,E,C,C,1
FL,18,H,F,2,,N,L,F,B,S,2
GA,31,U,F,1,,N,L,G,B,C,3
TX,28,H,M,3,,N,L,F,B,C,2
MO,36,N,F,0,,N,L,G,C,T,2
FL,40,H,M,3,,N,L,E,B,T,2
TX,11,U,J,3,,N,L,F,C,S,1
other,51,H,M,2,,N,L,D,D,R,3
CA,3,N,F,0,,N,L,F,A,U,1
other,32,H,F,2,,Y,L,F,B,C,3
TX,39,H,M,3,,N,L,E,B,T,2
MO,12,H,F,3,,Y,L,F,A,S,1
other,49,H,F,2,,N,L,E,D,R,2
other,48,U,F,3,12,N,L,E,D,R,2
MI,39,H,M,2,,N,L,F,A,T,2
WI,21,H,F,3,,N,L,F,A,S,3
GA,18,H,F,3,,N,L,F,A,S,2
TX,15,H,M,3,,N,L,G,B,S,1
GA,40,H,M,3,,N,L,F,B,T,2
GA,30,H,M,2,,N,L,E,B,C,3
IL,24,H,M,3,,Y,L,G,C,C,1
FL,40,N,M,0,,N,L,F,B,T,2
FL,1,H,M,3,1,N,L,G,A,U,1
WA,44,H,F,3,,N,L,E,B,R,2
other,40,H,M,2,,N,L,F,D,T,2
WA,27,H,F,3,,N,L,F,C,C,2
IL,13,N,M,0,,N,L,G,A,S,1
TX,13,H,F,3,,N,L,F,B,S,1
other,40,N,F,0,12,N,L,E,B,T,2
IL,13,U,M,1,,Y,L,E,A,S,1
FL,40,H,F,3,,N,L,E,B,R,2
other,41,U,F,2,,N,L,D,D,T,3
TX,34,N,F,0,,N,L,F,C,T,1
other,15,H,M,3,,N,L,G,B,S,1
other,40,H,F,1,,N,L,F,A,R,2
FL,26,H,M,2,,N,L,G,B,C,2
IL,2,H,M,3,,N,L,F,A,U,1
IL,26,N,F,0,,N,L,F,A,C,2
other,51,N,F,0,,N,L,F,D,R,3
WI,10,U,F,3,,N,L,F,B,U,4
TX,41,U,F,2,,N,L,E,B,T,3
other,35,H,M,2,,N,L,E,C,T,1
CA,10,U,F,1,,N,L,G,A,U,4
other,34,H,F,3,,N,L,F,D,T,1
IL,51,U,M,2,,N,L,E,D,R,3
GA,49,H,M,3,,N,L,E,B,R,2
IL,27,H,M,3,,N,L,E,A,C,2
CA,5,H,F,3,,N,L,F,B,U,2
NC,27,U,M,3,,N,L,F,B,C,2
MI,44,U,F,3,,Y,L,E,A,R,2
CA,24,H,F,3,,N,L,D,A,C,1
MI,30,U,F,2,,N,L,G,B,C,3
MO,16,H,F,2,,N,L,F,B,S,2
WA,23,U,F,3,,N,L,G,D,C,1
CA,14,H,F,2,,N,L,E,A,S,1
CA,24,H,M,3,,N,L,E,B,C,1
other,29,H,M,2,,N,L,E,A,C,2
TX,39,U,F,2,,N,L,F,C,T,2
IL,36,U,F,3,,N,L,F,D,T,2
CA,9,H,M,3,,Y,L,F,A,U,3
NC,40,N,F,0,,N,L,D,C,T,2
TX,21,U,M,2,,N,L,F,A,S,3
CA,12,H,F,3,,N,L,E,A,S,1
CA,27,N,F,0,,N,L,G,A,C,2
WA,3,N,F,0,,N,L,F,A,U,1
WI,11,H,M,3,,N,L,E,B,S,1
CA,15,H,F,3,,N,L,F,A,S,1
IL,30,N,F,0,,N,L,E,B,C,3
other,47,U,F,2,,N,L,E,B,R,2
CA,42,H,F,3,,N,L,F,B,R,1
other,49,H,M,3,,N,L,G,B,R,2
MI,10,H,F,2,,N,L,G,A,U,4
TX,49,H,F,2,,N,L,F,A,R,2
FL,28,H,F,3,,Y,L,G,B,C,2
other,40,N,M,0,,N,L,G,A,R,2
other,32,H,F,3,,N,L,E,B,C,3
MI,40,U,F,1,,N,L,G,B,T,2
WI,36,H,M,3,,Y,L,D,D,T,2
WA,20,H,F,2,,N,L,F,A,S,2
MO,40,H,F,3,,N,L,F,C,T,2
IN,51,U,F,1,,N,L,F,D,R,3
other,51,N,M,0,,N,L,F,C,R,3
other,53,N,F,0,,N,L,D,D,R,3
TX,36,U,M,2,,N,L,F,D,T,2
CA,40,H,F,3,,N,L,F,B,R,2
NC,40,U,F,2,,N,L,E,B,T,2
other,49,H,M,3,,N,L,F,C,R,2
IN,27,H,F,2,,N,L,E,C,C,2
other,25,U,M,3,,N,L,G,C,C,2
IN,27,H,M,3,,N,L,F,A,C,2
CA,20,H,F,3,,Y,L,F,A,S,2
other,51,H,M,2,,N,L,F,D,R,3
WI,53,H,F,2,,N,L,E,D,R,3
IN,44,U,F,1,12,N,L,G,C,R,2
other,46,U,F,2,,N,L,G,D,R,2
other,39,H,F,3,,N,L,F,B,T,2
TX,22,H,F,3,,Y,L,F,A,C,1
TX,14,N,M,0,,N,L,G,A,S,1
IL,18,H,F,3,,Y,L,F,A,S,2
WA,26,N,F,0,,N,L,E,A,C,2
IL,40,H,F,3,,N,L,F,A,T,2
other,53,H,M,2,,N,L,D,D,R,3
CA,15,U,F,2,,N,L,F,A,S,1
IL,28,U,F,3,,N,L,F,C,C,2
other,37,U,F,3,,N,L,F,D,T,2
FL,32,H,F,3,,N,L,E,B,C,3
CA,6,H,M,3,,Y,L,G,A,U,2
FL,13,N,M,0,12,N,L,F,B,S,1
TX,22,H,M,3,,N,L,F,A,C,1
WI,49,U,M,1,,N,L,D,C,R,2
other,16,U,M,1,,N,L,F,B,S,2
CA,22,H,F,1,,N,L,F,A,C,1
CA,2,N,F,0,,N,L,E,A,U,1
CA,1,N,M,0,,N,L,F,A,U,1
CA,21,N,M,0,,N,L,F,A,S,3
MI,12,H,F,2,,N,L,F,B,S,1
FL,33,H,M,3,,Y,L,G,A,C,3
other,40,H,M,2,,N,L,F,A,T,2
NC,25,N,F,0,,N,L,G,D,C,2
FL,27,N,F,0,,N,L,E,D,C,2
MO,40,U,F,2,,N,L,G,A,T,2
